symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
JPM,long,59,2022-09-26,2022-10-17,98.02,105.69,452.1,T1_HIT,21,7.82
NKE,long,52,2022-10-11,2022-10-17,80.09,83.34,168.93,T1_HIT,6,4.06
JPM,long,59,2022-09-26,2022-10-18,98.02,109.58,681.72,T2_HIT,22,11.79
BAC,long,202,2022-09-26,2022-10-18,28.47,31.8,672.09,T1_HIT,22,11.69
GE,long,146,2022-09-26,2022-10-18,39.45,42.91,505.18,T2_HIT,22,8.77
BAC,long,202,2022-09-26,2022-10-19,28.47,31.44,598.64,T2_HIT,23,10.41
AMZN,long,40,2022-10-14,2022-10-19,114.1,114.71,24.4,T1_HIT,5,0.53
JPM,long,117,2022-09-26,2022-10-24,98.02,111.78,1610.1,T3_HIT,28,14.04
GE,long,293,2022-09-26,2022-10-24,39.45,44.63,1517.14,T3_HIT,28,13.13
BAC,long,403,2022-09-26,2022-10-26,28.47,32.2,1502.05,T3_HIT,30,13.09
META,long,34,2022-10-24,2022-10-26,126.14,130.53,149.31,T1_HIT,2,3.48
NKE,long,52,2022-10-11,2022-10-27,80.09,86.46,331.08,T2_HIT,16,7.95
META,long,103,2022-10-24,2022-10-28,126.14,98.71,-2825.2,STOP_LOSS,4,-21.74
AMZN,long,120,2022-10-14,2022-10-31,114.1,103.56,-1264.8,STOP_LOSS,17,-9.24
AMZN,long,139,2022-10-31,2022-11-03,103.56,92.47,-1541.51,STOP_LOSS,3,-10.71
NKE,long,104,2022-10-11,2022-11-07,80.09,89.65,994.22,T3_HIT,27,11.94
GE,long,118,2022-12-19,2022-12-21,47.27,49.59,273.66,T1_HIT,2,4.91
CVX,long,38,2022-12-19,2022-12-22,147.17,151.53,166.02,T1_HIT,3,2.97
XOM,long,60,2022-12-19,2022-12-28,93.68,97.82,248.3,T1_HIT,9,4.42
WFC,long,574,2022-12-07,2022-12-29,39.42,37.65,-1018.73,TIME_STOP,22,-4.5
GE,long,118,2022-12-19,2022-12-30,47.27,50.73,408.69,T2_HIT,11,7.33
BAC,long,192,2022-12-12,2023-01-04,29.54,31.0,279.14,T1_HIT,23,4.92
GE,long,237,2022-12-19,2023-01-05,47.27,54.79,1782.63,T3_HIT,17,15.91
INTC,long,201,2022-12-19,2023-01-09,25.94,27.81,376.01,T1_HIT,21,7.21
