date,pv
2022-03-14,86120.67
2022-03-15,88104.3
2022-03-16,90269.07
2022-03-17,89871.99
2022-03-18,89949.14
2022-03-21,89126.19
2022-03-22,90319.16
2022-03-23,89295.18
2022-03-24,89199.37
2022-03-25,88753.13
2022-03-28,88934.68
2022-03-29,89909.37
2022-03-30,89298.29
2022-03-31,89165.52
2022-04-01,88283.86
2022-04-04,88607.79
2022-04-05,88119.99
2022-04-06,86625.86
2022-04-07,86386.29
2022-04-08,85976.57
2022-04-11,85459.12
2022-04-12,85299.22
2022-04-13,85882.45
2022-04-14,85089.46
2022-04-18,85375.6
2022-04-19,85814.69
2022-04-20,85954.25
2022-04-21,86271.49
2022-04-22,87430.03
2022-04-25,87337.53
2022-04-26,86600.21
2022-04-27,86683.98
2022-04-28,87628.79
2022-04-29,86310.21
2022-05-02,87508.08
2022-05-03,89122.54
2022-05-04,90498.06
2022-05-05,89498.15
2022-05-06,89604.18
2022-05-09,86231.84
2022-05-10,87267.78
2022-05-11,87045.22
2022-05-12,87169.18
2022-05-13,88255.2
2022-05-16,88385.4
2022-05-17,90504.03
2022-05-18,89211.5
2022-05-19,89291.89
2022-05-20,88582.64
2022-05-23,89267.49
2022-05-24,88455.86
2022-05-25,89193.59
2022-05-26,90107.28
2022-05-27,91027.89
2022-05-31,91811.98
2022-06-01,92041.73
2022-06-02,93106.21
2022-06-03,92332.59
2022-06-06,92408.73
2022-06-07,92019.9
2022-06-08,92290.23
2022-06-09,92588.21
2022-06-10,92248.86
2022-06-13,92167.9
2022-06-14,92325.14
2022-06-15,93281.55
2022-06-16,92545.51
2022-06-17,92297.66
2022-06-21,93117.41
2022-06-22,92743.4
2022-06-23,92814.04
2022-06-24,95858.43
2022-06-27,95107.47
2022-06-28,94172.05
2022-06-29,94373.89
2022-06-30,94185.17
2022-07-01,95036.32
2022-07-05,94914.17
2022-07-06,94750.97
2022-07-07,95456.61
2022-07-08,95304.85
2022-07-11,94979.59
2022-07-12,94499.27
2022-07-13,94524.33
2022-07-14,94319.15
2022-07-15,95336.51
2022-07-18,95758.88
2022-07-19,96546.33
2022-07-20,96660.38
2022-07-21,96692.94
2022-07-22,96759.0
2022-07-25,97030.89
2022-07-26,97380.66
2022-07-27,97915.22
2022-07-28,97782.97
2022-07-29,97508.23
2022-08-01,96851.26
2022-08-02,97320.02
2022-08-03,97166.27
2022-08-04,96561.53
2022-08-05,95987.85
2022-08-08,96430.34
2022-08-09,95773.71
2022-08-10,96333.25
2022-08-11,96646.68
2022-08-12,96809.61
2022-08-15,96774.22
2022-08-16,96916.11
2022-08-17,96282.86
2022-08-18,96614.81
2022-08-19,96739.07
2022-08-22,96917.58
2022-08-23,97102.05
2022-08-24,97017.76
2022-08-25,96712.12
2022-08-26,98308.35
2022-08-29,98477.39
2022-08-30,98813.84
2022-08-31,99207.72
2022-09-01,98775.66
2022-09-02,97256.26
2022-09-06,96550.01
2022-09-07,97530.69
2022-09-08,98329.88
2022-09-09,100350.44
2022-09-12,100536.6
2022-09-13,96757.15
2022-09-14,96505.51
2022-09-15,95733.89
2022-09-16,95141.87
2022-09-19,96613.36
2022-09-20,95680.61
2022-09-21,94320.87
2022-09-22,93617.03
2022-09-23,92481.8
2022-09-26,91889.29
2022-09-27,91659.05
2022-09-28,93284.81
2022-09-29,90385.91
2022-09-30,86630.82
2022-10-03,89295.06
2022-10-04,92762.2
2022-10-05,92084.72
2022-10-06,91029.76
2022-10-07,88661.96
2022-10-10,87822.22
2022-10-11,86462.66
2022-10-12,87223.31
2022-10-13,89596.2
2022-10-14,88668.47
2022-10-17,91772.09
2022-10-18,93492.51
2022-10-19,93013.91
2022-10-20,92694.42
2022-10-21,93810.6
2022-10-24,93646.71
2022-10-25,94651.91
2022-10-26,93054.26
2022-10-27,89049.63
2022-10-28,87363.98
2022-10-31,87187.99
2022-11-01,86969.18
2022-11-02,86973.88
2022-11-03,86595.21
2022-11-04,86469.28
2022-11-07,86004.15
2022-11-08,85322.85
2022-11-09,86419.07
2022-11-10,84457.79
2022-11-11,83676.75
2022-11-14,83713.1
2022-11-15,83559.02
2022-11-16,84161.41
2022-11-17,83944.95
2022-11-18,83632.0
2022-11-21,83625.51
2022-11-22,82418.78
2022-11-23,82702.83
2022-11-25,82648.02
2022-11-28,83104.65
2022-11-29,83110.59
2022-11-30,82755.93
2022-12-01,82658.35
2022-12-02,82555.2
2022-12-05,83034.22
2022-12-06,83551.3
2022-12-07,83414.32
2022-12-08,83381.27
2022-12-09,83564.39
